
--------------------------------------------------------------------------------------------------------------------------------------------------------

--------------------------------------------------------------------------------------------------------------------------------------------------------
TYPE | YEAR || KEY                | OWNER     | DESIGNATION               || FORE             | CHAMBER      | ACTION | NOTE
P    | 1961 || walther_tp         | Walther   | TP (25 ACP)               ||                  | 25 ACP       | semi   | --
P    | 1963 || feg_pa_63          | FEG       | FÉG PA-63                 ||                  | 9mm_makarov  | semi   | --
P    | 1968 || walther_tph_22     | Walther   | TP (22 LR)                ||                  | 22_lr        | semi   | --
P    | 1968 || walther_tph        | Walther   | TP (25 ACP)               ||                  | 25_acp       | semi   | --
P    | 1972 || walther_pp_super   | Walther   | PP Super                  ||                  | 9mm_ultra    | semi   | --
P    | 1974 || l66a1              | UK        | L66A1                     ||                  | 22_lr        | semi   | --
P    | 2000 || walther_ppke_22    | Walther   | PPK/E (22 LR)             ||                  | 22_lr        | semi   | --
P    | 2000 || walther_ppke       | Walther   | PPK/E (32 ACP)            ||                  | 32_acp       | semi   | --
P    | 2000 || walther_ppke_380   | Walther   | PPK/E (380 ACP)           ||                  | 380_acp      | semi   | --
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
P    | 1982 || glock_17           | Glock     | 17                        ||                  | 9mm          | semi   | ds full
MP   | 1986 || glock_18           | Glock     | 18                        ||                  | 9mm          | select | ds full
P    |      || glock_19           | Glock     | 19                        ||                  | 9mm          | semi   | ds compact
P    |      || glock_26           | Glock     | 26 / US MK 26             ||                  | 9mm          | semi   | ds subcompact
P    |      || glock_43           | Glock     | 43                        ||                  | 9mm          | semi   | ss subcompact slim
P    |      || glock_44           | Glock     | 44                        ||                  | 22_lr        | semi   | compact
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
P    | 1976 || beretta_92         | Beretta   |                           ||                  | 9mm          | semi   | --
P    | 1985 || beretta_92FS       | Beretta   | 92FS                      ||                  | 9mm          | semi   | --
P    |      || us_m9_pistol       | US        | M9 Pistol                 ||                  | 9mm          | semi   | --
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
P    | 1997 || walther_p99        | Walther   | P99 (9mm)                 ||                  | 9mm          | semi   | --
P    | 1997 || walther_p99_40     | Walther   | P99 (40)                  ||                  | 40_sw        | semi   | --
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
P    | 1930 || tt_30              | Russia    | Tokarev TT-30             ||                  | 762_tokarev  | semi   | --
P    | 1933 || tt_33              | Russia    | Tokarev TT-33             ||                  | 762_tokarev  | semi   | --
P    | 1933 || p615_r             | Germany   | P615(r)                   ||                  | 762_tokarev  | semi   | --
P    | 1949 || tt_33_1949         | Russia    | Tokarev TT-33 (1949)      ||                  | 762_tokarev  | manual | slide-mounted-silencer
P    | 1951 || type_51            | China     | Type 51 Pistol            ||                  | 762_tokarev  | semi   | --
P    | 1954 || type_54            | China     | Type 54 Pistol            ||                  | 762_tokarev  | semi   | --
P    |      || tokarev_213        | China     | Tokarev Model 213         ||                  | 9mm          | semi   | --
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
P    | 1951 || pm                 | Russia    | PM Makarov                ||                  | 9mm_makarov  | semi   | --
MP   | 1951 || aps                | Russia    | APS Stechkin              ||                  | 9mm_makarov  | select | detachable-stock
P    | 1967 || pb                 | Russia    | PB                        ||                  | 9mm_makarov  | semi   | integrally-suppressed
MP   | 1972 || apb                | Russia    | APB                       ||                  | 9mm_makarov  | select | detachable-stock suppressed
MP   | 1998 || dracula            | Romania   | Pistol M1998 "Dracula"    ||                  | 9mm          | select | spare magazine attached to front as grip
--------------------------------------------------------------------------------------------------------------------------------------------------------
RIFLE; SINGLE-SHOT RIFLE (SSR), REPEATING RIFLE (RR), SEMI-AUTOMATIC RIFLE (SAR)
--------------------------------------------------------------------------------------------------------------------------------------------------------
TYPE | YEAR || KEY                | OWNER     | DESIGNATION               || FORE             | CHAMBER      | ACTION | NOTE
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|-----------------------
SSR  | 1872 || mauser_1871        | Germany   | Mauser M1871 / Gewehr 71  ||                  | 11mm_mauser  | bolt   | --
RR   | 1878 || kropatschek        | France    | Kropatschek               ||                  | 11mm Gras    | bolt   | --
SSR  | 1880 || murata_type_13     | Japan     | Murata Type 13            ||                  | 11_60mm-r    | bolt   | --
SSR  | 1881 || mauser_koka        | Serbia    | Mauser-Koka M78/80        ||                  | 1015_63mm    | bolt   | --
RR   | 1884 || gewehr_1871_84     | Germany   | Gewehr 1871/84            ||                  | 11mm_mauser  | bolt   | --
SSR  | 1885 || murata_type_16     | Japan     | Murata Type 16            ||                  | 11_60mm_r    | bolt   | --
SSR  | 1885 || murata_type_18     | Japan     | Murata Type 18            ||                  | 11_60mm_r    | bolt   | --
RR   | 1886 || lebel_1886         | France    | Lebel M1886               ||                  | 8mm_lebel    | bolt   | --
RR   | 1888 || gewehr_1888        | Germany   | Gewehr 1888               ||                  | patrone_88   | bolt   | --
RR   | 1888 || lee_metford        | UK        | Lee-Metford               ||                  | 303_british  | bolt   | --
SSR  | 1889 || murata_type_22     | Japan     | Murata Type 22            ||                  | 11_60mm_r    | bolt   | --
RR   | 1893 || lebel_1886_93      | France    | Lebel M1886-93            ||                  | 8mm_lebel    | bolt   | --
RR   | 1893 || mondragon_1893     | Mexico    | Mondragón M1893 (6.5mm)   ||                  | 65_48mm      | bolt   | straight-pull slamfire
RR   | 1893 || mondragon_1893-b   | Mexico    | Mondragón M1893 (5.2mm)   ||                  | 52_68mm      | bolt   | straight-pull slamfire
SAR  | 1894 || mondragon_1894     | Mexico    | Mondragón M1894           ||                  | 65_48mm      | semi   | --
RR   | 1895 || lee_enfield        | UK        | Lee-Enfield               ||                  | 303_british  | bolt   | --
RR   | 1898 || gewehr_1898        | Germany   | Gewehr 1898               ||                  | 792_mauser   | bolt   | --
RR   | 1899 || arisaka_type_30    | Japan     | Arisaka Type 30           ||                  | 65_arisaka   | bolt   | --
     | 1902 || arisaka_type_35    | Japan     | Arisaka Type 35           ||                  |              |        | --
RR   | 1906 || arisaka_type_38    | Japan     | Arisaka Type 38           ||                  | 65_arisaka   | bolt   | --
RR   | 1905 || gewehr_1888_05     | Germany   | Gewehr 1888/05            ||                  | 792_mauser   | bolt   | --
RR   | 1907 || mauser_koka_duric  | Serbia    | Mauser-Koka-Đurić M80/07  ||                  | 7mm_mauser   | bolt   | --
RR   |      || g_223_j            | Germany   | Gewehr 223 (j)            ||                  | 7mm_mauser   | bolt   | --
SAR  | 1917 || rsc_1917           | France    | RSC M1917                 ||                  | 8mm_lebel    | semi   | --
BR   | 1936 || avs_36             | Russia    | AVS-36                    ||                  | 762_54mm_r   | select | --
SR   | 1937 || arisaka_type_97    | Japan     | Type 97 Sniper            ||                  | 65_arisaka   | bolt   | --
RR   | 1939 || arisaka_type_99    | Japan     | Arisaka Type 99           ||                  | 77_arisaka   | bolt   | --
RR   | 1942 || arisaka_type_99_cn | China     | Arisaka Type 99 (NRA)     ||                  | 792_mauser   | bolt   | --
RR   | 1942 || arisaka_type_99_ko | Korea     | Arisaka Type 99 (Korea)   ||                  | 30_06        | bolt   | --
SR   | 1942 || sniper_type_99     | Japan     | Type 99 Sniper            ||                  | 77_arisaka   | bolt   | --
BR   | 1938 || svt_38             | Russia    | SVT-38                    ||                  | 762_54mm_r   | semi   | compatible with mosin-nagant stripper clips
BR   | 1940 || svt_40             | Russia    | SVT-40                    ||                  | 762_54mm_r   | semi   | --
SAR  | 1941 || g41                | Germany   | Gewehr G41                ||                  | 792_mauser   | semi   | --
BR   | 1942 || avt_42             | Russia    | AVT-42                    ||                  | 762_54mm_r   | select | --
SAR  | 1943 || g43                | Germany   | Gewehr G43 / K43          ||                  | 792_mauser   | semi   | --
SAR  | 1949 || sks                | Russia    | SKS                       ||                  | 762_russian  | semi   | --
SAR  | 1956 || type_56_carbine    | China     | Type 56 Carbine           ||                  | 762_russian  | semi   | --
--------------------------------------------------------------------------------------------------------------------------------------------------------
Submachine Gun (SMG)
--------------------------------------------------------------------------------------------------------------------------------------------------------
Submachine Gun (SMG) - Thompson
--------------------------------------------------------------------------------------------------------------------------------------------------------
TYPE | YEAR || KEY                | OWNER     | DESIGNATION               || FORE             | CHAMBER      | ACTION | NOTE
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
SMG  | 1921 || thompson           | US        | Thompson                  ||                  | 45_acp       |        |
SMG  | 1927 || m1928              | USN       | Thompson M1928 (Navy)     ||                  | 45_acp       |        |
SMG  | 1928 || m1928_a1           | US        | Thompson M1928A1          ||                  | 45_acp       |        |
SMG  |      || kp_40              | Sweden    | KP M/40                   ||                  | 45_acp       |        |
SMG  | 1942 || m1                 | US        | M1 Thompson               ||                  | 45_acp       |        |
SMG  | 1928 || m1a1               | US        | M1928A1 Thompson          ||                  | 45_acp       |        |
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
SMG  | 1931 || suomi_kp_31        | Finland   | Suomi KP M/31             ||                  |              |        |
--------------------------------------------------------------------------------------------------------------------------------------------------------
Submachine Gun (SMG) - PPD, PPSh, PPS
--------------------------------------------------------------------------------------------------------------------------------------------------------
TYPE | YEAR || KEY                | OWNER     | DESIGNATION               || FORE             | CHAMBER      | ACTION | NOTE
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
SMG  | 1938 || ppd_33_38          | Russia    | PPD-33/38                 ||                  |              |        |
SMG  | 1938 || mp_715_r           | Germany   | MP 715(r)                 ||                  |              |        |
SMG  | 1940 || ppd_40             | Russia    | PPD-40                    ||                  |              |        |
SMG  | 1940 || mp_716_r           | Germany   | MP 716(r)                 ||                  |              |        |
SMG  | 1941 || ppsh_41            | Russia    | PPSh-41                   ||                  | 762_tokarev  | select | OBB
SMG  | 1941 || mp717_r            | Germany   | MP717(r)                  ||                  | 762_tokarev  | select | OBB
SMG  | 1941 || mp41_r             | Germany   | MP41(r)                   ||                  | 9mm          | select | OBB
SMG  | 1942 || pps_42             | Russia    | PPS-42                    ||                  | 762_tokarev  | full   | OBB detachable-magazine
SMG  | 1943 || pps_43             | Russia    | PPS-43                    ||                  | 762_tokarev  | full   | OBB detachable-magazine
SMG  | 1944 || smg_44             | Finland   | M/44 SMG                  ||                  | 9mm          |        |
SMG  | 1945 || ppsh_45            | Russia    | PPSh-45                   ||                  | 762_tokarev  | full   |
SMG  | 1944 || kp_44              | Finland   | KP/-44                    ||                  |              |        |
SMG  | 1946 || pps_wz_43          | Poland    | PPS wz. 43                ||                  | 762_tokarev  |        |
SMG  | 1950 || type_50            | China     | Type 50                   ||                  | 762_tokarev  | select |
SMG  | 1952 || pps_wz_43_52       | Poland    | PPS wz. 43/52             ||                  | 762_tokarev  |        |
SMG  | 1954 || type_54_smg        | China     | Type 54 SMG               ||                  | 762_tokarev  |        |
SMG  | 1958 || k_50m              | Vietnam   | K-50M                     ||                  |              |        |
--------------------------------------------------------------------------------------------------------------------------------------------------------
Submachine Gun (SMG) - Sten
--------------------------------------------------------------------------------------------------------------------------------------------------------
TYPE | YEAR || KEY                | OWNER     | DESIGNATION               || FORE             | CHAMBER      | ACTION | NOTE
-----|------||--------------------|-----------|---------------------------||------------------|--------------|--------|---------------------------------
SMG  | 1941 || sten               | UK        | Sten Mark I               ||                  | 9mm          | select | OBB
SMG  | 1941 || mp_748_e           | Germany   | MP 748(e)                 ||                  | 9mm          | select | OBB
SMG  | 1941 || sten_1_1           | UK        | Sten Mark I*              ||                  | 9mm          | select | OBB
SMG  | 1941 || sten_2             | UK        | Sten Mark II              ||                  | 9mm          | select | OBB
SMG  | 1941 || mp_749_e           | Germany   | MP 749(e)                 ||                  | 9mm          | select | OBB
SMG  | 1942 || sten_2_ca          | Canada    | Sten Mark II Canadian     ||                  | 9mm          | select | OBB
SMG  | 1942 || m38                | China     | M38 (9mm)                 ||                  | 9mm          | full   | OBB
SMG  | 1942 || m38_762            | China     | M38 (762 Tokarev)         ||                  | 762_tokarev  | full   | OBB
SMG  | 1942 || sten_3             | UK        | Sten Mark III             ||                  | 9mm          | select | OBB
SMG  | 1942 || mp750_e            | Germany   | MP 750(e)                 ||                  | 9mm          | select | OBB
SMG  | 1942 || sten_5             | UK        | Sten Mark V               ||                  | 9mm          | select | OBB
SMG  | 1943 || sten_2_s           | UK        | Sten Mark II(S)           ||                  | 9mm          | select | OBB integral-silencer
SMG  | 1943 || mp_751_e           | Germany   | MP 751(e)                 ||                  | 9mm          | select | OBB integral-silencer
